PETS1,,,,,,,
frame,coneR1*,HSV,HSP,HSI,HSL,Y',Norm
161,0.626,0.738878,0.757477,0.741679,0.740585,0.741625,0.757351
221,0.892,0.725148,0.819834,0.750568,0.761143,0.755378,0.816861
231,0.76,0.858148,0.868234,0.866399,0.866142,0.866952,0.867025
281,0.724,0.787008,0.802866,0.790805,0.789306,0.790679,0.802587
291,0.695,0.75094,0.769799,0.753752,0.752716,0.753808,0.769428
301,0.656,0.754936,0.772501,0.757881,0.757301,0.757734,0.77234
471,0.611,0.436982,0.590372,0.44692,0.448274,0.446629,0.589855
481,0.746,0.779996,0.782919,0.787105,0.786365,0.787283,0.782258
561,0.755,0.809295,0.821242,0.817918,0.817278,0.818022,0.820628
681,0.656,0.758668,0.722023,0.766527,0.765649,0.767406,0.720775
881,0.664,0.620095,0.639379,0.621515,0.620895,0.622744,0.638613
,,0.5508747537,0.729256455,0.5919609092,0.6083788718,0.5978292247,0.7252228893
